"Date","Autos","Autres","Bus","Camions","Camions.articules","Camions.legers","Camions.Lourds","Camions.porteurs","Ecoliers","Illegaux","Motos","Non.Utilise","Pietons","Tous","Velos","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10"
"2014-07-03",18046,0,367,417,0,0,0,0,0,0,0,0,136,0,91,0,0,0,0,0,0,1,0,0,1
"2014-07-08",44485,0,557,1326,0,0,0,0,0,0,0,5,5895,0,4436,0,0,1,0,1,0,1,1,0,0
"2014-07-09",56770,0,842,1267,0,0,0,0,0,0,0,0,9809,0,859,0,0,0,1,1,1,1,0,0,0
"2014-07-15",13435,0,88,723,0,0,0,0,0,0,0,0,1446,0,173,0,0,0,1,0,0,0,0,0,0
"2014-09-03",19086,0,405,785,0,0,0,0,322,0,0,0,4092,0,469,0,0,1,1,0,0,1,0,0,0
"2014-09-04",10044,0,3,197,0,0,0,0,0,0,0,0,3919,0,140,0,0,0,0,0,0,0,0,0,1
"2014-09-23",18201,0,115,403,0,0,0,0,0,0,0,0,3088,0,366,0,0,0,0,1,0,0,0,0,0
"2014-09-30",82164,0,2062,2087,0,0,0,0,0,0,0,5,8945,0,427,1,1,0,0,0,2,0,0,1,0
"2014-10-01",40654,0,792,1685,0,0,0,0,0,0,0,0,5455,0,3072,0,1,1,0,0,0,0,0,1,0
"2014-10-02",9177,0,178,248,0,0,0,0,0,0,0,0,628,0,91,0,0,0,0,0,0,0,0,0,1
"2014-10-28",26726,0,635,1062,0,0,0,0,0,0,0,0,1163,0,61,0,0,0,1,2,0,0,0,0,0
"2014-10-29",6320,0,93,865,0,0,0,0,0,0,0,1,98,0,30,0,0,0,0,0,0,1,0,0,0
"2014-10-30",10247,0,42,266,0,0,0,0,0,0,0,0,1006,0,104,0,0,0,0,0,0,1,0,0,0
"2014-11-04",9386,0,221,166,0,0,0,0,0,0,0,0,1056,0,21,0,0,0,0,0,0,0,0,0,1
"2014-11-06",21763,0,413,605,0,0,0,0,1260,0,0,0,735,0,95,0,0,0,0,0,0,0,1,0,0
"2015-01-13",59783,0,793,1607,0,0,0,0,0,0,0,0,18086,0,77,0,1,3,0,1,1,0,0,0,0
"2015-02-10",51392,0,645,971,0,0,0,0,0,0,0,0,4647,0,91,1,2,1,1,0,0,0,0,0,0
"2015-02-11",34766,0,480,609,0,0,0,0,0,0,0,1,5227,0,120,0,0,0,1,0,1,1,2,0,0
"2015-02-12",24628,0,348,370,0,0,0,0,0,0,0,0,869,0,13,0,0,0,1,0,0,0,2,0,0
"2015-02-17",30140,0,417,1257,0,0,0,0,0,0,0,0,1098,0,62,1,0,0,1,0,2,1,3,0,0
"2015-02-18",30979,0,776,746,0,0,0,0,0,0,0,1,11893,0,92,2,1,1,0,0,1,1,2,0,0
"2015-02-19",17246,0,304,239,0,0,0,0,0,0,0,0,4215,0,45,1,0,0,0,1,1,0,0,0,0
"2015-02-24",57719,0,438,1449,0,0,0,0,0,0,0,14,7327,0,59,1,0,0,0,2,0,1,1,1,0
"2015-02-25",41030,0,578,1591,0,0,0,0,0,0,0,6,993,0,48,1,1,1,0,0,1,0,0,0,1
"2015-02-26",27346,0,959,1114,0,0,0,0,0,0,0,1,414,0,17,1,0,0,1,1,0,0,0,1,0
"2015-03-10",12257,0,495,280,0,0,0,0,0,0,0,1,3331,0,251,0,0,0,1,0,0,2,0,0,1
"2015-03-11",42042,0,499,1297,0,0,0,0,0,0,0,0,3775,0,13,0,0,0,2,0,0,0,0,0,1
"2015-03-12",78979,0,1844,1363,0,0,0,0,0,0,0,7,12315,0,350,1,0,0,3,3,0,1,2,0,0
"2015-03-17",42825,0,286,1070,0,0,0,0,0,0,0,0,545,0,44,1,0,1,0,0,1,1,0,0,0
"2015-03-18",33593,0,818,1634,0,0,0,0,0,0,0,0,951,0,31,0,1,1,0,1,0,0,0,0,0
"2015-03-19",59149,0,1014,931,0,0,0,0,0,0,0,1,8608,0,64,1,0,3,0,0,0,0,1,0,0
"2015-03-24",22479,0,258,470,0,0,0,0,0,0,0,0,7538,0,104,0,0,0,0,0,0,0,0,1,0
